Market,"Owner/Operator, Franchise",ADDRESS,CTY,ST,Zip,Area,Year
Albuquerque,Extra Space Storage,1522 Pacheco Street,Santa Fe,NM,87505,73934,2000
Albuquerque,Extra Space Storage,1909 Golf Course Road SE,Rio Rancho,NM,87124,72836,2000
Albuquerque,Extra Space Storage,3300 Calle Cuervo NW,Albuquerque,NM,87114,80889,1998
Albuquerque,Extra Space Storage,9831 Montgomery Blvd NE,Albuquerque,NM,87111,62697,1997
Albuquerque,Extra Space Storage,9221 Eagle Ranch Road NW,Albuquerque,NM,87114,60821,1998
Albuquerque,Extra Space Storage,6917 Montgomery Blvd NE,Albuquerque,NM,87109,57080,1990
Albuquerque,Extra Space Storage,141 Airport Drive NW,Albuquerque,NM,87121,53164,1992
Albuquerque,Extra Space Storage,875 West San Mateo Road,Santa Fe,NM,87505,92004,2002
Albuquerque,Extra Space Storage,10340 Ellison Road NW,Albuquerque,NM,87114,65248,1993
Albuquerque,Extra Space Storage,11820 Lomas Blvd NE,Albuquerque,NM,87112,42565,1993
Albuquerque,Extra Space Storage,1200 Legion Road NE,Albuquerque,NM,87102,48436,1985
Albuquerque,Extra Space Storage,900 West San Mateo Road,Santa Fe,NM,87505,72967,1972
Albuquerque,Extra Space Storage,4801 San Mateo Blvd NE,Albuquerque,NM,87109,76500,1973
Albuquerque,Extra Space Storage,11930 Central Avenue SE,Albuquerque,NM,87123,54029,1974
Albuquerque,Extra Space Storage,201 Eubank Blvd SE,Albuquerque,NM,87123,75330,1984
Allentown-Bethlehem,Extra Space Storage,911 County Road 517,Hackettstown,NJ,07840,87600,2006
Atlanta - Suburban,Extra Space Storage,2350 Ronald Reagan Pkwy,Snellville,GA,30078,101642,2017
Atlanta - Suburban,Extra Space Storage,530 Athens Hwy,Loganville,GA,30052,79596,1985
Atlanta - Suburban,Extra Space Storage,2920 Buford Drive,Buford,GA,30519,107958,2018
Atlanta - Suburban,Extra Space Storage,1605 Old Alabama Road,Roswell,GA,30076,68800,2015
Atlanta - Suburban,Extra Space Storage,840 Scenic Hwy,Lawrenceville,GA,30045,106544,2018
Atlanta - Suburban,Extra Space Storage,3240 Sixes Road,Canton,GA,30114,99213,2018
Atlanta - Suburban,Extra Space Storage,735 Hambrick Road,Stone Mountain,GA,30083,87374,1987
Atlanta - Suburban,Extra Space Storage,11640 Jones Bridge Road,Alpharetta,GA,30005,126063,2002
Atlanta - Suburban,Extra Space Storage,6260 Abbotts Bridge Road,Duluth,GA,30097,77354,2003
Atlanta - Suburban,Extra Space Storage,6780 Roswell Road,Sandy Springs,GA,30328,100890,2010
Atlanta - Suburban,Extra Space Storage,8337 Tara Blvd,Jonesboro,GA,30236,104500,2002
Atlanta - Suburban,Extra Space Storage,3360 Dogwood Lane,Acworth,GA,30101,117847,1997
Atlanta - Suburban,Extra Space Storage,2890 Cobb Pkwy NW,Kennesaw,GA,30152,51000,2006
Atlanta - Suburban,Extra Space Storage,4105 George Busbee Pkwy NW,Kennesaw,GA,30144,95904,2006
Atlanta - Suburban,Extra Space Storage,1419 Cobb Pkwy North,Marietta,GA,30062,58210,2005
Atlanta - Suburban,Extra Space Storage,855 North Main Street,Alpharetta,GA,30009,68171,2000
Atlanta - Suburban,Extra Space Storage,5151 Annistown Road,Stone Mountain,GA,30087,76610,1998
Atlanta - Suburban,Extra Space Storage,5097 Dallas Hwy,Powder Springs,GA,30127,99972,2007
Atlanta - Suburban,Extra Space Storage,1897 West Oak Pkwy,Marietta,GA,30062,96612,2007
Atlanta - Suburban,Extra Space Storage,2329 Panola Road,Lithonia,GA,30058,135037,2008
Atlanta - Suburban,Extra Space Storage,2619 Austell Road SW,Marietta,GA,30008,65125,1997
Atlanta - Suburban,Extra Space Storage,1257 South Hairston Road,Stone Mountain,GA,30088,66504,1998
Atlanta - Suburban,Extra Space Storage,8115 Roswell Road,Atlanta,GA,30350,79560,1997
Atlanta - Suburban,Extra Space Storage,2860 Holcomb Bridge Road,Alpharetta,GA,30022,65070,1995
Atlanta - Suburban,Extra Space Storage,2095 Attic Pkwy NW,Kennesaw,GA,30152,80835,1995
Atlanta - Suburban,Extra Space Storage,4902 Lake Acworth Drive,Acworth,GA,30101,70010,1982
Atlanta - Suburban,Extra Space Storage,3720 Tramore Pointe Pkwy,Austell,GA,30106,98851,2007
Atlanta - Suburban,Extra Space Storage,3942 US-78,Snellville,GA,30039,95580,1998
Atlanta - Suburban,Extra Space Storage,2040 Lawrenceville Hwy,Lawrenceville,GA,30044,77000,1996
Atlanta - Suburban,Extra Space Storage,2050 Gravel Springs Road,Buford,GA,30519,88993,2008
Atlanta - Suburban,Extra Space Storage,1172 Auburn Road,Dacula,GA,30019,96700,2008
Atlanta - Suburban,Extra Space Storage,2801 North Berkeley Lake Road NW,Duluth,GA,30096,86644,2007
Atlanta - Suburban,Extra Space Storage,1790 Peachtree Industrial Blvd,Duluth,GA,30097,109568,2007
Atlanta - Suburban,Extra Space Storage,4750 Nelson Brogdon Blvd,Buford,GA,30518,65445,2003
Atlanta - Suburban,Extra Space Storage,1461 Hudson Bridge Road,Stockbridge,GA,30281,147558,1997
Atlanta - Suburban,Extra Space Storage,2044 Old Norcross Road,Lawrenceville,GA,30044,68660,1999
Atlanta - Suburban,Extra Space Storage,4755 Nelson Brogdon Blvd NE,Buford,GA,30518,66888,2002
Atlanta - Suburban,Extra Space Storage,2790 Braselton Hwy,Dacula,GA,30019,75096,2001
Atlanta - Suburban,Extra Space Storage,3564 Lawrenceville Hwy,Lawrenceville,GA,30044,77796,2008
Atlanta - Suburban,Extra Space Storage,4257 Buford Drive NE,Buford,GA,30518,74830,2002
Atlanta - Suburban,Extra Space Storage,204 Fulton Court,Peachtree City,GA,30269,102869,1988
Atlanta - Suburban,Extra Space Storage,5484 Flakesmill Road,Ellenwood,GA,30294,41625,1998
Atlanta - Suburban,Extra Space Storage,3357 Breckinridge Blvd,Duluth,GA,30096,103591,2007
Atlanta - Suburban,Extra Space Storage,2376 Fairburn Road,Douglasville,GA,30135,45200,2000
Atlanta - Suburban,Extra Space Storage,98 Hurricane Shoals Road NE,Lawrenceville,GA,30046,92804,1995
Atlanta - Suburban,Extra Space Storage,814 Hiram Acworth Hwy,Hiram,GA,30141,73040,1994
Atlanta - Urban,Extra Space Storage,2340 Cobb Pkwy SE,Smyrna,GA,30080,82992,1985
Atlanta - Urban,Extra Space Storage,1989 Montreal Road,Tucker,GA,30084,91928,2007
Atlanta - Urban,Extra Space Storage,1105 Mount Vernon Hwy,Atlanta,GA,30328,139437,2006
Atlanta - Urban,Extra Space Storage,2960 Lakewood Avenue,Atlanta,GA,30344,81041,1962
Atlanta - Urban,Extra Space Storage,1248 Zonolite Road,Atlanta,GA,30306,108282,2007
Atlanta - Urban,Extra Space Storage,2035 Powers Ferry Road SE,Marietta,GA,30067,70772,2005
Atlanta - Urban,Extra Space Storage,600 Virginia Avenue NE,Atlanta,GA,30306,90919,1996
Atlanta - Urban,Extra Space Storage,2489 Cheshire Bridge Road NE,Atlanta,GA,30324,117570,1996
Atlanta - Urban,Extra Space Storage,890 Chattahoochee Avenue NW,Atlanta,GA,30318,60126,2012
Atlanta - Urban,Extra Space Storage,660 Edgewood Avenue SE,Atlanta,GA,30312,76119,2013
Atlanta - Urban,Extra Space Storage,5218 Oakdale Road SE,Smyrna,GA,30082,85431,2016
Augusta,Extra Space Storage,2364 Tobacco Road,Augusta,GA,30906,82600,2000
Austin,Extra Space Storage,2631 South Capital of Texas Hwy,Austin,TX,78746,113586,2013
Austin,Extra Space Storage,9300 Brodie Lane,Austin,TX,78748,77750,2011
Austin,Extra Space Storage,9215 South 1st Street,Austin,TX,78748,87207,2014
Austin,Extra Space Storage,3009 Dawn Drive,Georgetown,TX,78628,61330,1996
Austin,Extra Space Storage,18412 TX-71,Spicewood,TX,78669,94066,2001
Austin,Extra Space Storage,3621 East Whitestone Blvd,Cedar Park,TX,78613,89857,2005
Austin,Extra Space Storage,6512 McNeil Drive,Austin,TX,78729,60800,1997
Austin,Extra Space Storage,6412 Burnet Road,Austin,TX,78757,78425,2000
Austin,Extra Space Storage,12408 Harris Branch Pkwy,Manor,TX,78653,109540,2006
Austin,Extra Space Storage,9910 Slaughter Creek Drive,Austin,TX,78748,123950,1985
Austin,Extra Space Storage,12506 North Lamar Blvd,Austin,TX,78753,105335,2007
Baltimore,Extra Space Storage,7519 Solley Road,Glen Burnie,MD,21060,71100,1999
Baltimore,Extra Space Storage,1306 Pulaski Hwy,Edgewood,MD,21040,50060,1998
Baltimore,Extra Space Storage,1 East Joppa Road,Towson,MD,21286,122726,1966
Baltimore,Extra Space Storage,9810 Pulaski Hwy,Middle River,MD,21220,80608,1998
Baltimore,Extra Space Storage,11002 Owings Mills Blvd,Owings Mills,MD,21117,91300,1998
Baltimore,Extra Space Storage,2023 Renard Court,Annapolis,MD,21401,53220,1991
Baltimore,Extra Space Storage,10400 Old Columbia Road,Columbia,MD,21046,93600,1991
Baltimore,Extra Space Storage,8207 Veterans Hwy,Millersville,MD,21108,95311,1986
Baltimore,Extra Space Storage,3350 Laurel Fort Meade Road,Laurel,MD,20724,90750,2008
Baltimore,Extra Space Storage,5910 Moravia Road,Baltimore,MD,21206,87500,2008
Baltimore,Extra Space Storage,410 Constant Friendship Blvd,Abingdon,MD,21009,97937,2001
Baltimore,Extra Space Storage,2005 Trout Road,Annapolis,MD,21401,114800,1988
Baltimore,Extra Space Storage,203 East Joppa Road,Towson,MD,21286,122500,1999
Baltimore,Extra Space Storage,6100 Rossville Blvd,Essex,MD,21221,71716,1991
Baltimore,Extra Space Storage,1699 Baltimore Annapolis Blvd,Arnold,MD,21012,83060,1988
Baltimore,Extra Space Storage,7492 New Ridge Road,Hanover,MD,21076,103135,2013
Baltimore,Extra Space Storage,9145 Liberty Road,Randallstown,MD,21133,76360,1996
Baltimore,Extra Space Storage,69 Dover Road NE,Glen Burnie,MD,21060,141480,2011
Baltimore,Extra Space Storage,121 Mountain Road,Pasadena,MD,21122,45570,2011
Baltimore,Extra Space Storage,2400 North Howard Street,Baltimore,MD,21218,147144,2010
Baltimore,Extra Space Storage,789 State Route 3 North,Gambrills,MD,21054,67727,1993
Baltimore,Extra Space Storage,8919 Fort Smallwood Road,Pasadena,MD,21122,49070,1993
Baltimore,Extra Space Storage,1400 Eastern Avenue,Baltimore,MD,21231,104184,2006
Baltimore,Extra Space Storage,1 Beaver Court,Cockeysville,MD,21030,112437,1975
Baltimore,Extra Space Storage,6821 Eastern Avenue,Baltimore,MD,21224,80900,2003
Baltimore,Extra Space Storage,2107 West Street,Annapolis,MD,21401,94379,1985
Baltimore,Extra Space Storage,3370 Laurel Fort Meade Road,Laurel,MD,20724,77952,2015
Bay Area - East Bay,Extra Space Storage,6401 San Leandro Street,Oakland,CA,94621,98843,1999
Bay Area - East Bay,Extra Space Storage,3480 Tennessee Street,Vallejo,CA,94591,93130,2002
Bay Area - East Bay,Extra Space Storage,2300 Grant Avenue,San Lorenzo,CA,94580,67671,2000
Bay Area - East Bay,Extra Space Storage,1900 Meeker Avenue,Richmond,CA,94804,79994,2000
Bay Area - East Bay,Extra Space Storage,9180 Alcosta Blvd,San Ramon,CA,94583,74196,1996
Bay Area - East Bay,Extra Space Storage,14340 Washington Avenue,San Leandro,CA,94578,82597,2009
Bay Area - East Bay,Extra Space Storage,2000 Doolittle Drive,San Leandro,CA,94577,277266,1978
Bay Area - East Bay,Extra Space Storage,4031 Lakeside Drive,Richmond,CA,94806,79108,1985
Bay Area - East Bay,Extra Space Storage,300 Deerwood Road,San Ramon,CA,94583,100449,2001
Bay Area - East Bay,Extra Space Storage,4311 Sonoma Blvd,Vallejo,CA,94589,47660,1976
Bay Area - East Bay,Extra Space Storage,300 Market Street,Oakland,CA,94607,52560,2003
Bay Area - East Bay,Extra Space Storage,210 Fallon Street,Oakland,CA,94607,65065,1993
Bay Area - East Bay,Extra Space Storage,3722 Old Santa Rita Road,Pleasanton,CA,94588,59036,1997
Bay Area - East Bay,Extra Space Storage,2580 Monument Blvd,Concord,CA,94520,103142,1999
Bay Area - East Bay,Extra Space Storage,3500 San Pablo Dam Road,El Sobrante,CA,94803,71267,1974
Bay Area - East Bay,Extra Space Storage,3406 Hollis Street,Emeryville,CA,94608,105593,2010
Bay Area - East Bay,Extra Space Storage,24700 Mission Blvd,Hayward,CA,94544,126413,1979
Bay Area - East Bay,Extra Space Storage,5888 Northfront Road,Livermore,CA,94551,77377,2000
Bay Area - East Bay,Extra Space Storage,601 Cedar Street,Berkeley,CA,94710,204520,1974
Bay Area - East Bay,Extra Space Storage,3939 Castro Valley Blvd,Castro Valley,CA,94546,88745,2001
Bay Area - East Bay,Extra Space Storage,1599 Solano Way,Concord,CA,94520,59612,1991
Bay Area - East Bay,Extra Space Storage,2201 Clement Avenue,Alameda,CA,94501,106863,1975
Bay Area - East Bay,Extra Space Storage,1090 29th Avenue,Oakland,CA,94601,85999,1997
Bay Area - South Bay,Extra Space Storage,8900 Murray Avenue,Gilroy,CA,95020,71730,1999
Bay Area - South Bay,Extra Space Storage,106 Lawrence Station Road,Sunnyvale,CA,94086,169213,1992
Bay Area - South Bay,Extra Space Storage,3510 Charter Park Drive,San Jose,CA,95136,53120,1998
Bay Area - South Bay,Extra Space Storage,895 Thornton Way,San Jose,CA,95128,103352,1985
Bay Area - South Bay,Extra Space Storage,1265 Oakland Road,San Jose,CA,95112,81000,2001
Bay Area - South Bay,Extra Space Storage,720 North 10th Street,San Jose,CA,95112,126550,1959
Bay Area - South Bay,Extra Space Storage,1775 Laurelwood Road,Santa Clara,CA,95054,93978,1986
Bay Area - South Bay,Extra Space Storage,2576 Scott Blvd,Santa Clara,CA,95050,121600,1992
Bay Area - South Bay,Extra Space Storage,950 University Avenue,Los Gatos,CA,95032,54650,2011
Bay Area - South Bay,Extra Space Storage,50 Curtner Avenue,Campbell,CA,95008,94246,2000
Bay Area - South Bay,Extra Space Storage,187 East Sunnyoaks Avenue,Campbell,CA,95008,40516,1997
Bay Area - South Bay,Extra Space Storage,241 West Sunnyoaks Avenue,Campbell,CA,95008,42053,1984
Bay Area - South Bay,Extra Space Storage,222 San Pedro Avenue,Morgan Hill,CA,95037,69615,1997
Bay Area - South Bay,Extra Space Storage Phase II,2576 Scott Blvd,Santa Clara,CA,95050,52508,
Birmingham,Extra Space Storage,115 Grace Baker Road,Birmingham,AL,35210,62994,1999
Birmingham,Extra Space Storage,2135 Columbiana Road,Birmingham,AL,35216,53477,1988
Birmingham,Extra Space Storage,3050 Bowling Drive,Birmingham,AL,35242,79278,1999
Birmingham,Extra Space Storage,501 Palisades Blvd,Birmingham,AL,35209,69050,1997
Birmingham,Extra Space Storage,3454 Lorna Road,Birmingham,AL,35216,144464,1996
Boston,Extra Space Storage,50 Ferry Road,Haverhill,MA,01835,70300,1993
Boston,Extra Space Storage,583 Lynnway,Lynn,MA,01905,85250,2000
Boston,Extra Space Storage,36 Popes Lane,Danvers,MA,01923,128098,2000
Boston,Extra Space Storage,751 Daniel Webster Hwy,Merrimack,NH,03054,72600,2001
Boston,Extra Space Storage,901 Candia Road,Manchester,NH,03109,46942,1989
Boston,Extra Space Storage,2 Scobie Pond Road,Derry,NH,03038,38348,1986
Boston,Extra Space Storage,143 Lafayette Road,Salisbury,MA,01952,59000,1985
Boston,Extra Space Storage,640 Broadway,Saugus,MA,01906,116850,2002
Boston,Extra Space Storage,1701 Osgood Street,North Andover,MA,01845,50094,2002
Boston,Extra Space Storage,565 Main Street,Hudson,MA,01749,47120,1988
Boston,Extra Space Storage,122 Allied Drive,Dedham,MA,02026,83502,1957
Boston,Extra Space Storage,1940 Washington Street,Stoughton,MA,02072,64050,1997
Boston,Extra Space Storage,190 Willow Street,Waltham,MA,02453,58866,1993
Boston,Extra Space Storage,95 Old Colony Avenue,Quincy,MA,02170,80654,1930
Boston,Extra Space Storage,15 Olympia Avenue,Woburn,MA,01801,56773,1974
Boston,Extra Space Storage,999 Bedford Street,Whitman,MA,02382,77187,1989
Boston,Extra Space Storage,20 Washington Street,Stoughton,MA,02072,40120,1987
Boston,Extra Space Storage,21 Weston Avenue,Quincy,MA,02170,46260,1900
Boston,Extra Space Storage,1430 Bedford Street,Abington,MA,02351,54150,1996
Boston,Extra Space Storage,147 Green Street,Foxboro,MA,02035,63560,1996
Boston,Extra Space Storage,89 Waverly Street,Ashland,MA,01721,63900,2003
Boston,Extra Space Storage,230 Oak Street,Brockton,MA,02301,71400,2002
Boston,Extra Space Storage,3175 Washington Street,Boston,MA,02130,102030,1920
Boston,Extra Space Storage,2 Adams Street,Milton,MA,02186,66252,2001
Boston,Extra Space Storage,5 Independence Road,Kingston,MA,02364,60720,2002
Boston,Extra Space Storage,171 Milton Street,Dedham,MA,02026,73974,1965
Boston,Extra Space Storage,634 Plain Street,Marshfield,MA,02050,43000,2001
Boston,Extra Space Storage,460 Somerville Avenue,Somerville,MA,02143,93606,1998
Boston,Extra Space Storage,128 Bridge Street,Newton,MA,02458,140468,2002
Boston,Extra Space Storage,329 2nd Street,Everett,MA,02149,103448,1999
Boston,Extra Space Storage,934 Washington Street,Norwood,MA,02062,85845,1998
Boston,Extra Space Storage,1256 Washington Street,Weymouth,MA,02189,123984,1982
Boston,Extra Space Storage,95 Montvale Avenue,Stoneham,MA,02180,88128,2002
Boston,Extra Space Storage,90 Taunton Street,Plainville,MA,02762,106775,1998
Boston,Extra Space Storage,885 Centre Street,Brockton,MA,02302,35800,1999
Boston,Extra Space Storage,14 McGrath Hwy,Somerville,MA,02143,38500,1983
Boston,Extra Space Storage,225 Rangeway Road,North Billerica,MA,01862,98130,2004
Boston,Extra Space Storage,590 Revere Beach Pkwy,Revere,MA,02151,101100,2003
Boston,Extra Space Storage,195 Bear Hill Road,Waltham,MA,02451,79558,1997
Boston,Extra Space Storage,2 Industrial Way,Tyngsboro,MA,01879,78720,1983
Boston,Extra Space Storage,140 Main Street,North Reading,MA,01864,63015,1984
Boston,Extra Space Storage,141 McBride Street,Jamaica Plain,MA,02130,133200,2018
Boston,Extra Space Storage,41 Norwood Street,Boston,MA,02122,97715,2014
Boston,Extra Space Storage,27 Liberty Street,Quincy,MA,02169,120960,2015
Boston,Extra Space Storage Phase II,2 Industrial Way,Tyngsborough,MA,01879,15856,2021
Bridgeport - New Haven,Extra Space Storage,2101 State Street Ext,Bridgeport,CT,06605,127764,2013
Bridgeport - New Haven,Extra Space Storage,578 Federal Road,Brookfield,CT,06804,97138,1988
Bridgeport - New Haven,Extra Space Storage,132 Silas Deane Hwy,Wethersfield,CT,06109,87528,2002
Bridgeport - New Haven,Extra Space Storage,488 Boston Post Road,Orange,CT,06477,99150,2000
Bridgeport - New Haven,Extra Space Storage,177 Brickyard Road,Farmington,CT,06032,84466,1981
Bridgeport - New Haven,Extra Space Storage,1156 Cromwell Avenue,Rocky Hill,CT,06067,112277,1985
Bridgeport - New Haven,Extra Space Storage,576 Danbury Road,New Milford,CT,06776,68050,1989
Bridgeport - New Haven,Extra Space Storage,1934 West Main Street,Stamford,CT,06902,120652,1953
Bridgeport - New Haven,Extra Space Storage,50 Olesen Road,Wethersfield,CT,06109,107050,1987
Bridgeport - New Haven,Extra Space Storage,171 Roberts Street,East Hartford,CT,06108,93216,1985
Bridgeport - New Haven,Extra Space Storage,56 Pameacha Avenue,Middletown,CT,06457,59669,2004
Bridgeport - New Haven,Extra Space Storage,184 Fenn Road,Newington,CT,06111,71100,1961
Bridgeport - New Haven,Extra Space Storage,215 Gold Star Hwy,Groton,CT,06340,69950,2003
Bridgeport - New Haven,Extra Space Storage,163 South Road,Enfield,CT,06082,78370,1982
Bronx,Extra Space Storage,3450 Baychester Avenue,Bronx,NY,10475,89000,2015
Bronx,Extra Space Storage,330 Bruckner Blvd,Bronx,NY,10454,222600,1999
Bronx,Extra Space Storage,1037 Zerega Avenue,Bronx,NY,10462,111610,2005
Bronx,Extra Space Storage,945 Zerega Avenue,Bronx,NY,10473,63079,1962
Bronx,Extra Space Storage,2875 Edson Avenue,Bronx,NY,10469,176420,2003
Bronx,Extra Space Storage,245 West Fordham Road,Bronx,NY,10468,60000,2001
Brooklyn,Extra Space Storage,201 64th Street,Brooklyn,NY,11220,183400,2000
Brooklyn,Extra Space Storage,1540 Atlantic Avenue,Brooklyn,NY,11213,66600,2006
Brooklyn,Extra Space Storage,312 3rd Avenue,Brooklyn,NY,11215,90000,2003
Central Coast,Extra Space Storage,1478 Freedom Blvd,Watsonville,CA,95076,32808,1987
Central Coast,Extra Space Storage,311 West Rossi Street,Salinas,CA,93907,58995,1989
Central Coast,Extra Space Storage,1310 Fair Avenue,Santa Cruz,CA,95060,67290,1984
Central Coast,Extra Space Storage,2900 Soquel Avenue,Santa Cruz,CA,95062,84051,1972
Central Coast,Extra Space Storage,1465 38th Avenue,Santa Cruz,CA,95062,59414,1988
Central Coast,Extra Space Storage,90 Santas Village Road,Scotts Valley,CA,95066,37020,1988
Central Coast,Extra Space Storage,250 Dela Vina Avenue,Monterey,CA,93940,77162,1959
Central Coast,Extra Space Storage,2807 Skyway Drive,Santa Maria,CA,93455,84006,1996
Central Coast,Extra Space Storage,401 Farnel Road,Santa Maria,CA,93458,108730,1984
Central East Texas,Extra Space Storage,1035 West Jasper Drive,Killeen,TX,76542,113188,1974
Central East Texas,Extra Space Storage,580 West Loop 121,Belton,TX,76513,58500,2003
Central East Texas,Extra Space Storage,4405 South Fort Hood Street,Killeen,TX,76542,133170,1998
Central Valley,Extra Space Storage,55 East Jamestown Street,Stockton,CA,95207,75755,2001
Central Valley,Extra Space Storage,780 East 11th Street,Tracy,CA,95304,64865,1992
Central Valley,Extra Space Storage,652 South Main Street,Manteca,CA,95337,68200,2000
Central Valley,Extra Space Storage,2101 Sylvan Avenue,Modesto,CA,95355,68680,2000
Central Valley,Extra Space Storage,2201 Crows Landing Road,Modesto,CA,95358,69680,2002
Central Valley,Extra Space Storage,4223 Pacific Avenue,Stockton,CA,95207,80523,1993
Central Valley,Extra Space Storage,787 East 11th Street,Tracy,CA,95304,64712,2003
Charleston,Extra Space Storage,1117 Bowman Road,Mount Pleasant,SC,29464,37180,1986
Charleston,Extra Space Storage,1951 Maybank Hwy,Charleston,SC,29412,67346,1986
Charleston,Extra Space Storage,3510 Glenn McConnell Pkwy,Charleston,SC,29414,69084,2000
Charleston,Extra Space Storage,609 Old Trolley Road,Summerville,SC,29485,80000,1999
Charleston,Extra Space Storage,427 St. James Avenue,Goose Creek,SC,29445,91232,2000
Charleston,Extra Space Storage,8850 Rivers Avenue,North Charleston,SC,29406,99573,1974
Charleston,Extra Space Storage,1533 Ashley River Road,Charleston,SC,29407,46600,1992
Charleston,Extra Space Storage,1108 Stockade Lane,Mount Pleasant,SC,29466,190488,1997
Charleston,Extra Space Storage,1904 North Highway 17,Mount Pleasant,SC,29464,65140,1994
Charleston,Extra Space Storage,2343 Savannah Hwy,Charleston,SC,29414,45037,1977
Charleston,Extra Space Storage,9670 Dorchester Road,Summerville,SC,29485,83304,2014
Charleston,Extra Space Storage,3015 Ricks Industrial Park Drive,Myrtle Beach,SC,29588,58644,2001
Charleston,Extra Space Storage,6941 Rivers Avenue,North Charleston,SC,29406,87444,2017
Charleston,Extra Space Storage,5146 Ashley Phosphate Road,North Charleston,SC,29418,98610,2017
Charlotte,Extra Space Storage,1310 Wesley Chapel Road,Indian Trail,NC,28079,88777,2007
Charlotte,Extra Space Storage,220 Winecoff School Road,Concord,NC,28027,57718,1995
Charlotte,Extra Space Storage,2120 West Roosevelt Blvd,Monroe,NC,28110,89142,2017
Charlotte,Extra Space Storage,10140 South Tryon Street,Charlotte,NC,28273,86434,2015
Charlotte,Extra Space Storage,5801 West WT Harris Blvd,Charlotte,NC,28269,100250,2016
Charlotte,Extra Space Storage,1000 North Graham Street,Charlotte,NC,28206,99665,2017
Charlotte,Extra Space Storage,3308 South Blvd,Charlotte,NC,28209,89656,2014
Charlotte,Extra Space Storage,1350 North Wendover Road,Charlotte,NC,28205,85427,2000
Charlotte,Extra Space Storage,9601 Monroe Road,Charlotte,NC,28270,128400,1964
Chicago - Suburban,Extra Space Storage,160 West Industrial Drive,Elmhurst,IL,60126,112036,2017
Chicago - Suburban,Extra Space Storage,3657 147th Street,Midlothian,IL,60445,114800,2016
Chicago - Suburban,Extra Space Storage,2074 Mannheim Road,Des Plaines,IL,60018,149236,2017
Chicago - Suburban,Extra Space Storage,1170 North Skokie Hwy,Gurnee,IL,60031,65340,2007
Chicago - Suburban,Extra Space Storage,1610 Old Deerfield Road,Highland Park,IL,60035,114252,1970
Chicago - Suburban,Extra Space Storage,1298 Long Lake Drive,Round Lake Beach,IL,60073,36969,2005
Chicago - Suburban,Extra Space Storage,1432 West Ogden Avenue,Naperville,IL,60563,99869,2008
Chicago - Suburban,Extra Space Storage,1812 North Larkin Avenue,Crest Hill,IL,60403,73735,2004
Chicago - Suburban,Extra Space Storage,3481 Mall Loop Drive,Joliet,IL,60431,67400,2000
Chicago - Suburban,Extra Space Storage,416 South Lincolnway Street,North Aurora,IL,60542,86532,2008
Chicago - Suburban,Extra Space Storage,3459 IL-59,Naperville,IL,60564,121737,2005
Chicago - Suburban,Extra Space Storage,8251 West 159th Street,Tinley Park,IL,60477,80148,2009
Chicago - Suburban,Extra Space Storage,16869 Kilbourne Street,Country Club Hills,IL,60478,101200,2009
Chicago - Suburban,Extra Space Storage,200 Parkway Drive,Lincolnshire,IL,60069,65730,1998
Chicago - Suburban,Extra Space Storage,991 Milwaukee Avenue,Deerfield,IL,60015,97100,2001
Chicago - Suburban,Extra Space Storage,155 Butterfield Road,Vernon Hills,IL,60061,96200,2000
Chicago - Suburban,Extra Space Storage,1544 North IL Route 83,Round Lake Beach,IL,60073,81525,2002
Chicago - Urban,Extra Space Storage,7125 West Gunninson Street,Harwood Heights,IL,60706,96500,2007
Chicago - Urban,Extra Space Storage,6500 West Dakin Street,Chicago,IL,60634,97657,2012
Chicago - Urban,Extra Space Storage,1040 East 87th Street,Chicago,IL,60619,116116,2006
Chicago - Urban,Extra Space Storage,4455 West Montrose Avenue,Chicago,IL,60641,143196,2007
Chicago - Urban,Extra Space Storage,2244 South Western Avenue,Chicago,IL,60608,89188,2004
Chicago - Urban,Extra Space Storage,5525 West Roosevelt Road,Cicero,IL,60804,84727,2004
Chicago - Urban,Extra Space Storage,4821 West 67th Street,Bedford Park,IL,60638,76528,2003
Chicago - Urban,Extra Space Storage,7131 West 60th Street,Chicago,IL,60638,98866,1958
Chicago - Urban,Extra Space Storage,601 West Harrison Street,Chicago,IL,60607,153997,2000
Chicago - Urban,Extra Space Storage,4995 North Elston Avenue,Chicago,IL,60630,89534,1966
Chicago - Urban,Extra Space Storage,175 West 162nd Street,South Holland,IL,60473,83992,2002
Chicago - Urban,Extra Space Storage,2100 West Fullerton Avenue,Chicago,IL,60647,110828,1964
Chicago - Urban,Extra Space Storage,4222 South Pulaski Road,Chicago,IL,60632,218186,2000
Chicago - Urban,Extra Space Storage,5701 Ogden Avenue,Cicero,IL,60804,204069,2001
Chicago - Urban,Extra Space Storage,5366 North Northwest Hwy,Chicago,IL,60630,88701,1988
Chicago - Urban,Extra Space Storage,7540 McCormick Blvd,Skokie,IL,60076,104805,1997
Chicago - Urban,Extra Space Storage,4400 West Addison Street,Chicago,IL,60641,53031,1997
Chicago - Urban,Extra Space Storage,1255 South Wabash Avenue,Chicago,IL,60605,117660,1998
Chicago - Urban,Extra Space Storage,707 West Harrison Street,Chicago,IL,60607,104739,1995
Chicago - Urban,Extra Space Storage,1807 West Devon Avenue,Chicago,IL,60660,145176,2016
Chicago - Urban,Extra Space Storage,1301 Harlem Avenue,Berwyn,IL,60402,109378,2015
Cincinnati,Extra Space Storage,281 Richwood Road,Walton,KY,41094,76590,1992
